20.0,24.0
4.0,23.5
4.5,23.5
20.0,23.5
20.5,23.5
1.0,23.0
3.5,23.0
4.0,23.0
20.5,23.0
1.0,22.5
3.5,22.5
20.5,22.5
21.0,22.5
3.0,22.0
3.5,22.0
21.0,22.0
21.5,22.0
3.0,21.5
21.5,21.5
3.0,21.0
21.5,21.0
2.0,20.5
3.0,20.5
21.5,20.5
1.5,20.0
3.0,20.0
22.0,20.0
1.5,19.5
3.0,19.5
18.0,19.5
18.5,19.5
22.0,19.5
2.5,19.0
5.5,19.0
6.0,19.0
6.5,19.0
7.0,19.0
7.5,19.0
8.0,19.0
16.0,19.0
16.5,19.0
17.0,19.0
17.5,19.0
19.5,19.0
22.0,19.0
2.5,18.5
4.5,18.5
8.5,18.5
9.0,18.5
9.5,18.5
15.0,18.5
15.5,18.5
16.0,18.5
18.5,18.5
20.5,18.5
22.5,18.5
2.5,18.0
4.0,18.0
5.5,18.0
6.0,18.0
6.5,18.0
7.0,18.0
7.5,18.0
9.5,18.0
10.0,18.0
10.5,18.0
14.5,18.0
16.5,18.0
17.0,18.0
17.5,18.0
18.0,18.0
19.0,18.0
19.5,18.0
22.5,18.0
2.0,17.5
4.0,17.5
4.5,17.5
5.0,17.5
8.0,17.5
8.5,17.5
9.0,17.5
9.5,17.5
10.5,17.5
14.0,17.5
15.0,17.5
15.5,17.5
16.0,17.5
16.5,17.5
20.0,17.5
22.5,17.5
2.0,17.0
22.5,17.0
2.0,16.5
6.5,16.5
7.0,16.5
7.5,16.5
8.0,16.5
9.5,16.5
10.0,16.5
14.5,16.5
16.5,16.5
17.0,16.5
17.5,16.5
18.0,16.5
18.5,16.5
22.5,16.5
1.0,16.0
2.5,16.0
5.5,16.0
6.0,16.0
8.5,16.0
10.0,16.0
10.5,16.0
14.5,16.0
15.0,16.0
16.5,16.0
19.0,16.0
22.5,16.0
2.0,15.5
5.5,15.5
7.5,15.5
8.5,15.5
10.5,15.5
14.5,15.5
16.5,15.5
17.5,15.5
18.0,15.5
22.5,15.5
23.5,15.5
2.0,15.0
5.5,15.0
7.0,15.0
7.5,15.0
8.5,15.0
10.0,15.0
10.5,15.0
14.5,15.0
16.5,15.0
17.5,15.0
18.5,15.0
19.0,15.0
19.5,15.0
22.5,15.0
2.0,14.5
5.5,14.5
6.0,14.5
7.5,14.5
8.0,14.5
8.5,14.5
10.0,14.5
14.5,14.5
16.5,14.5
17.0,14.5
17.5,14.5
22.5,14.5
2.0,14.0
6.5,14.0
9.0,14.0
9.5,14.0
10.0,14.0
14.5,14.0
15.0,14.0
15.5,14.0
16.0,14.0
22.5,14.0
23.5,14.0
2.5,13.5
7.5,13.5
8.0,13.5
8.5,13.5
22.5,13.5
2.5,13.0
22.5,13.0
2.5,12.5
22.5,12.5
1.5,12.0
23.5,12.0
1.5,11.5
2.0,11.5
23.0,11.5
23.5,11.5
2.0,11.0
23.0,11.0
2.0,10.5
9.5,10.5
15.5,10.5
16.0,10.5
23.0,10.5
2.5,10.0
9.0,10.0
15.0,10.0
16.0,10.0
22.5,10.0
23.0,10.0
2.5,9.5
8.5,9.5
9.0,9.5
10.5,9.5
11.0,9.5
11.5,9.5
13.5,9.5
14.0,9.5
14.5,9.5
16.0,9.5
16.5,9.5
23.0,9.5
2.5,9.0
3.0,9.0
8.5,9.0
10.5,9.0
11.5,9.0
13.0,9.0
13.5,9.0
14.5,9.0
15.5,9.0
16.5,9.0
22.5,9.0
3.0,8.5
9.5,8.5
10.5,8.5
11.0,8.5
11.5,8.5
14.0,8.5
14.5,8.5
15.5,8.5
17.0,8.5
22.0,8.5
22.5,8.5
3.0,8.0
16.0,8.0
17.0,8.0
22.0,8.0
3.5,7.5
21.5,7.5
3.5,7.0
21.5,7.0
3.5,6.5
21.5,6.5
4.0,6.0
9.5,6.0
10.0,6.0
10.5,6.0
11.0,6.0
11.5,6.0
12.0,6.0
12.5,6.0
13.0,6.0
13.5,6.0
14.0,6.0
14.5,6.0
15.0,6.0
15.5,6.0
16.0,6.0
16.5,6.0
21.0,6.0
4.0,5.5
9.0,5.5
16.5,5.5
21.0,5.5
4.0,5.0
4.5,5.0
9.0,5.0
9.5,5.0
11.5,5.0
15.5,5.0
16.0,5.0
20.5,5.0
21.0,5.0
4.5,4.5
5.0,4.5
9.5,4.5
10.0,4.5
10.5,4.5
12.5,4.5
13.0,4.5
13.5,4.5
15.0,4.5
15.5,4.5
20.0,4.5
20.5,4.5
5.0,4.0
10.0,4.0
14.5,4.0
20.0,4.0
5.0,3.5
5.5,3.5
10.5,3.5
11.0,3.5
14.0,3.5
14.5,3.5
19.5,3.5
20.0,3.5
5.5,3.0
6.0,3.0
11.0,3.0
11.5,3.0
12.0,3.0
12.5,3.0
13.0,3.0
13.5,3.0
19.5,3.0
6.0,2.5
19.5,2.5
6.5,2.0
19.0,2.0
19.5,2.0
6.0,1.5
6.5,1.5
19.0,1.5
19.5,1.5
20.0,1.5
